Article Title,Article URL,Company,Company Website
"Car startup Beepi sold for parts after potential exits to Fair, and then DGDG, broke down",https://techcrunch.com/2017/02/16/car-startup-beepi-sold-for-parts-after-potential-exits-to-fair-and-then-dgdg-broke-down/,Beepi,http://beepi.com
The new Pokémon just went live in Pokémon GO and the servers are melting again,https://techcrunch.com/2017/02/16/the-new-pokemon-just-went-live-in-pokemon-go-and-the-servers-are-melting-again/,Niantic Labs,http://www.nianticlabs.com/
Loom helps entrepreneurs lure freelance developers with equity,https://techcrunch.com/2017/02/16/loom/,n\a,n\a
What Betsy DeVos means for edtech,https://techcrunch.com/2017/02/16/what-betsy-devos-means-for-edtech/,AltSchool,http://www.altschool.com
Facebook plans customizable filters for nudity and violence,https://techcrunch.com/2017/02/16/facebook-nudity-filter/,n\a,n\a
Trucks will talk to each other using Peloton Technology,https://techcrunch.com/2017/02/16/trucks-will-talk-to-each-other-using-peloton-technology/,n\a,n\a
Transcend VR sues investor Mike Rothenberg for fraud and breach of contract,https://techcrunch.com/2017/02/16/transcend-vr-sues-investor-mike-rothenberg-for-fraud-and-breach-of-contract/,Transcend,http://www.reconinstruments.com/
Twitter makes another anti-abuse update,https://techcrunch.com/2017/02/16/twitter-makes-another-anti-abuse-update/,Twitter,http://www.twitter.com/
"Trump supporters boycott Meetup after company creates #Resist groups, makes its politics known",https://techcrunch.com/2017/02/16/trump-supporters-boycott-meetup-after-company-creates-resist-groups-makes-its-politics-known/,Meetup,http://www.meetup.com
LG reveals even more details about the G6 ahead of launch,https://techcrunch.com/2017/02/16/lg-g6-details/,LG,http://www.lg.com
Mark Zuckerberg’s humanitarian manifesto,https://techcrunch.com/2017/02/16/building-the-world-we-all-want/,n\a,n\a
Why Snap would lowball its IPO valuation,https://techcrunch.com/2017/02/16/why-snap-would-lowball-its-ipo-valuation/,Snap Inc.,https://www.snap.com/en-US/
This baby monitor uses radar to detect infant breathing patterns,https://techcrunch.com/2017/02/16/raybaby/,n\a,n\a
"After Puzder withdraws, Trump names his new pick for labor secretary",https://techcrunch.com/2017/02/16/after-puzder-withdraws-trump-names-his-new-pick-for-labor-secretary/,n\a,n\a
OxSight uses augmented reality to aid the visually impaired,https://techcrunch.com/2017/02/16/oxsight-uses-augmented-reality-to-aide-the-visually-impaired/,n\a,n\a
How Alphabet’s Project Loon balloons learned to loiter,https://techcrunch.com/2017/02/16/how-googles-project-loon-balloons-learned-to-loiter/,n\a,n\a
Dobby’s foldable pocket drone is the perfect mix of portability and functionality,https://techcrunch.com/2017/02/16/dobbys-foldable-pocket-drone-is-the-perfect-mix-of-portability-and-functionality/,n\a,n\a
Hivy is an office management service to manage all those startup perks,https://techcrunch.com/2017/02/16/hivy-is-an-office-management-service-to-manage-all-those-startup-perks/,Hivy,http://hivyapp.com/
"Boston’s new hub, MassRobotics, is like a WeWork for robotics startups",https://techcrunch.com/2017/02/16/bostons-new-hub-massrobotics-is-like-a-wework-for-robotics-startups/,MassRobotics,https://www.massrobotics.org/
Microsoft Office hits the MacBook Pro’s Touch Bar,https://techcrunch.com/2017/02/16/macrosoft-office-book-pro/,Apple,http://www.apple.com
